id;start_date;end_date;language
1;2020-04-22T15:42:00;2020-04-22T13:32:15;SPANISH
2;2020-04-21T20:32:11;2020-04-22T15:36:36;SPANISH
3;2020-04-22T11:27:30;2020-04-21T22:01:39;FRENCH
4;2020-04-22T02:45:01;2020-04-22T14:16:27;FRENCH
5;2020-04-22T12:15:19;2020-04-22T17:02:18;FRENCH
6;2020-04-22T06:07:40;2020-04-22T18:15:54;FRENCH
7;2020-04-22T07:53:00;2020-04-22T01:43:51;FRENCH
8;2020-04-22T06:49:13;2020-04-22T17:05:21;SPANISH
9;2020-04-22T05:30:22;2020-04-22T02:11:45;SPANISH
10;2020-04-22T13:42:26;2020-04-22T00:16:56;SPANISH
